#lat lon   β0      A1     d1     A2     d2
90   0.0 3.0463 -0.8205  32.9 -0.2661  53.4
90   2.5 3.0463 -0.8205  32.9 -0.2661  53.4 
90   5.0 3.0463 -0.8205  32.9 -0.2661  53.4
90   7.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  10.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  12.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  15.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  17.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  20.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  22.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  25.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  27.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  30.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  32.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  35.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  37.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  40.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  42.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  45.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  47.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  50.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  52.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  55.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  57.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  60.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  62.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  65.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  67.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  70.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  72.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  75.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  77.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  80.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  82.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  85.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  87.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  90.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  92.5 3.0463 -0.8205  32.9 -0.2661  53.4
90  95.0 3.0463 -0.8205  32.9 -0.2661  53.4
90  97.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 100.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 102.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 105.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 107.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 110.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 112.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 115.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 117.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 120.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 122.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 125.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 127.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 130.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 132.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 135.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 137.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 140.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 142.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 145.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 147.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 150.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 152.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 155.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 157.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 160.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 162.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 165.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 167.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 170.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 172.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 175.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 177.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 180.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 182.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 185.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 187.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 190.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 192.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 195.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 197.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 200.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 202.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 205.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 207.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 210.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 212.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 215.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 217.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 220.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 222.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 225.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 227.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 230.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 232.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 235.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 237.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 240.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 242.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 245.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 247.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 250.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 252.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 255.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 257.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 260.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 262.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 265.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 267.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 270.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 272.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 275.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 277.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 280.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 282.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 285.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 287.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 290.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 292.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 295.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 297.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 300.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 302.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 305.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 307.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 310.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 312.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 315.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 317.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 320.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 322.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 325.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 327.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 330.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 332.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 335.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 337.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 340.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 342.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 345.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 347.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 350.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 352.5 3.0463 -0.8205  32.9 -0.2661  53.4
90 355.0 3.0463 -0.8205  32.9 -0.2661  53.4
90 357.5 3.0463 -0.8205  32.9 -0.2661  53.4
88   0.0 3.0451 -0.7865  30.7 -0.2541  59.9
88   2.5 3.0514 -0.7822  30.8 -0.2536  59.7
88   5.0 3.0570 -0.7786  30.9 -0.2543  59.4
88   7.5 3.0625 -0.7736  31.0 -0.2548  59.1
88  10.0 3.0673 -0.7680  31.3 -0.2579  58.9
88  12.5 3.0725 -0.7596  31.4 -0.2590  58.5
88  15.0 3.0786 -0.7518  31.5 -0.2595  58.0
88  17.5 3.0822 -0.7472  31.7 -0.2602  57.5
88  20.0 3.0832 -0.7453  31.8 -0.2616  57.0
88  22.5 3.0842 -0.7440  31.8 -0.2630  56.6
88  25.0 3.0857 -0.7411  31.9 -0.2645  56.2
88  27.5 3.0875 -0.7366  32.0 -0.2660  55.7
88  30.0 3.0907 -0.7311  32.2 -0.2669  55.3
88  32.5 3.0907 -0.7283  32.3 -0.2692  54.9
88  35.0 3.0898 -0.7276  32.3 -0.2719  54.5
88  37.5 3.0898 -0.7278  32.4 -0.2745  54.0
88  40.0 3.0898 -0.7283  32.4 -0.2776  53.7
88  42.5 3.0908 -0.7233  32.1 -0.2752  53.2
88  45.0 3.0915 -0.7228  32.1 -0.2779  52.8
88  47.5 3.0942 -0.7214  32.3 -0.2798  52.5
88  50.0 3.0972 -0.7226  32.5 -0.2830  52.3
88  52.5 3.0996 -0.7232  32.6 -0.2840  52.0
88  55.0 3.1020 -0.7243  32.6 -0.2841  51.6
88  57.5 3.1009 -0.7273  32.5 -0.2848  51.2
88  60.0 3.1003 -0.7295  32.5 -0.2849  50.8
88  62.5 3.1019 -0.7304  32.6 -0.2841  50.5
88  65.0 3.1046 -0.7310  32.7 -0.2831  50.1
88  67.5 3.1063 -0.7322  32.7 -0.2828  49.7
88  70.0 3.1049 -0.7409  32.6 -0.2851  48.5
88  72.5 3.1056 -0.7435  32.8 -0.2862  48.3
88  75.0 3.1039 -0.7460  32.7 -0.2866  48.0
88  77.5 3.1036 -0.7472  32.8 -0.2865  47.6
88  80.0 3.1039 -0.7479  32.9 -0.2866  47.3
88  82.5 3.1044 -0.7486  33.1 -0.2867  47.0
88  85.0 3.1050 -0.7496  33.2 -0.2867  46.6
88  87.5 3.1055 -0.7506  33.4 -0.2865  46.2
88  90.0 3.1043 -0.7532  33.5 -0.2869  45.7
88  92.5 3.1049 -0.7559  33.7 -0.2870  45.3
88  95.0 3.1051 -0.7587  33.8 -0.2874  44.8
88  97.5 3.1057 -0.7611  34.0 -0.2878  44.4
88 100.0 3.1064 -0.7632  34.2 -0.2882  44.0
88 102.5 3.1070 -0.7647  34.5 -0.2883  43.6
88 105.0 3.1072 -0.7663  34.8 -0.2880  43.3
88 107.5 3.1088 -0.7599  34.9 -0.2826  43.4
88 110.0 3.1069 -0.7635  35.1 -0.2829  43.2
88 112.5 3.1053 -0.7676  35.2 -0.2832  43.0
88 115.0 3.1029 -0.7721  35.3 -0.2837  42.9
88 117.5 3.1035 -0.7751  35.4 -0.2834  42.7
88 120.0 3.1023 -0.7769  35.4 -0.2826  42.3
